dayofweek, latitude, longitude, pred_Severity 
4.0,37.711000000000006,-122.494,2.0
4.0,37.711000000000006,-122.49322,2.0153610706329346
4.0,37.711000000000006,-122.49244,2.03251051902771
4.0,37.711000000000006,-122.49166,2.050227165222168
4.0,37.711000000000006,-122.49088,2.067943811416626
4.0,37.711000000000006,-122.4901,2.085660457611084
4.0,37.711000000000006,-122.48932,2.103377103805542
4.0,37.711000000000006,-122.48854,2.1210944652557373
4.0,37.711000000000006,-122.48776,2.138810396194458
4.0,37.711000000000006,-122.48698,2.156527042388916
4.0,37.711000000000006,-122.4862,2.174243688583374
4.0,37.711000000000006,-122.48542,2.191960334777832
4.0,37.711000000000006,-122.48464,2.20967698097229
4.0,37.711000000000006,-122.48385999999999,2.227393627166748
4.0,37.711000000000006,-122.48308,2.245110511779785
4.0,37.711000000000006,-122.4823,2.262826919555664
4.0,37.711000000000006,-122.48152,2.280543804168701
4.0,37.711000000000006,-122.48074,2.298260450363159
4.0,37.711000000000006,-122.47996,2.315977096557617
4.0,37.711000000000006,-122.47918,2.333693742752075
4.0,37.711000000000006,-122.4784,2.352506637573242
4.0,37.711000000000006,-122.47762,2.37520170211792
4.0,37.711000000000006,-122.47684,2.3978960514068604
4.0,37.711000000000006,-122.47606,2.420590877532959
4.0,37.711000000000006,-122.47528,2.4432857036590576
4.0,37.711000000000006,-122.4745,2.4659812450408936
4.0,37.711000000000006,-122.47372,2.488675594329834
4.0,37.711000000000006,-122.47294,2.51137113571167
4.0,37.711000000000006,-122.47216,2.5340654850006104
4.0,37.711000000000006,-122.47138,2.556760311126709
4.0,37.711000000000006,-122.4706,2.579580783843994
4.0,37.711000000000006,-122.46982,2.606079339981079
4.0,37.711000000000006,-122.46903999999999,2.632577896118164
4.0,37.711000000000006,-122.46826,2.659076690673828
4.0,37.711000000000006,-122.46748,2.685575246810913
4.0,37.711000000000006,-122.4667,2.712073802947998
4.0,37.711000000000006,-122.46592,2.738572597503662
4.0,37.711000000000006,-122.46514,2.765071153640747
4.0,37.711000000000006,-122.46436,2.7915685176849365
4.0,37.711000000000006,-122.46358,2.8180670738220215
4.0,37.711000000000006,-122.4628,2.8445658683776855
4.0,37.711000000000006,-122.46202,2.8710644245147705
4.0,37.711000000000006,-122.46124,2.8975629806518555
4.0,37.711000000000006,-122.46046,2.9240615367889404
4.0,37.711000000000006,-122.45967999999999,2.9503209590911865
4.0,37.711000000000006,-122.4589,2.9765377044677734
4.0,37.711000000000006,-122.45812,3.0027551651000977
4.0,37.711000000000006,-122.45734,3.0289855003356934
4.0,37.711000000000006,-122.45656,3.055469512939453
4.0,37.711000000000006,-122.45578,3.081954002380371
4.0,37.711000000000006,-122.455,3.1084375381469727
4.0,37.711000000000006,-122.45421999999999,3.1349220275878906
4.0,37.711000000000006,-122.45344,3.1614065170288086
4.0,37.711000000000006,-122.45266,3.1878910064697266
4.0,37.711000000000006,-122.45188,3.2143754959106445
4.0,37.711000000000006,-122.4511,3.2408597469329834
4.0,37.711000000000006,-122.45032,3.2673439979553223
4.0,37.711000000000006,-122.44954,3.2938284873962402
4.0,37.711000000000006,-122.44876,3.320312976837158
4.0,37.711000000000006,-122.44798,3.346797466278076
4.0,37.711000000000006,-122.4472,3.3732810020446777
4.0,37.711000000000006,-122.44642,3.3997654914855957
4.0,37.711000000000006,-122.44564,3.4262495040893555
4.0,37.711000000000006,-122.44485999999999,3.4527337551116943
4.0,37.711000000000006,-122.44408,3.479218006134033
4.0,37.711000000000006,-122.4433,3.505702495574951
4.0,37.711000000000006,-122.44252,3.532186985015869
4.0,37.711000000000006,-122.44174,3.558671474456787
4.0,37.711000000000006,-122.44096,3.5851552486419678
4.0,37.711000000000006,-122.44018,3.6116394996643066
4.0,37.711000000000006,-122.43939999999999,3.636867046356201
4.0,37.711000000000006,-122.43862,3.6620230674743652
4.0,37.711000000000006,-122.43784,3.6871800422668457
4.0,37.711000000000006,-122.43706,3.7123360633850098
4.0,37.711000000000006,-122.43628,3.735797643661499
4.0,37.711000000000006,-122.43549999999999,3.756787061691284
4.0,37.711000000000006,-122.43472,3.777775764465332
4.0,37.711000000000006,-122.43393999999999,3.7985596656799316
4.0,37.711000000000006,-122.43316,3.8124701976776123
4.0,37.711000000000006,-122.43238,3.819911241531372
4.0,37.711000000000006,-122.4316,3.8194499015808105
4.0,37.711000000000006,-122.43082,3.818932056427002
4.0,37.711000000000006,-122.43003999999999,3.8184146881103516
4.0,37.711000000000006,-122.42926,3.8178958892822266
4.0,37.711000000000006,-122.42848,3.817378044128418
4.0,37.711000000000006,-122.4277,3.8168599605560303
