Date,Location
01/30/2015(37.761791195706, -122.40867573409)
02/01/2015(37.7424363113581, -122.489620429341)
02/01/2015(37.7564864109309, -122.406539115148)
02/01/2015(37.7641259075201, -122.402571216964)
02/01/2015(37.7641259075201, -122.402571216964)
02/01/2015(37.803594011382, -122.416489414289)
02/01/2015(37.7848337315521, -122.409336821846)
02/01/2015(37.752766726673, -122.410519781929)
02/01/2015(37.7809258336852, -122.413679376888)
02/01/2015(37.7809258336852, -122.413679376888)
02/01/2015(37.7809258336852, -122.413679376888)
02/01/2015(37.7800894126441, -122.487429256289)
01/29/2015(37.794611817992, -122.403994862674)
02/01/2015(37.7643418581632, -122.430494795393)
02/01/2015(37.7643418581632, -122.430494795393)
02/01/2015(37.7643418581632, -122.430494795393)
02/01/2015(37.7643418581632, -122.430494795393)
02/01/2015(37.7190699683467, -122.403249637246)
02/01/2015(37.7371564713337, -122.396516726913)
02/01/2015(37.728979731984, -122.385545453301)
02/01/2015(37.7650244301204, -122.41920245941)
02/01/2015(37.7871160984672, -122.403919148357)
02/01/2015(37.7871160984672, -122.403919148357)
02/01/2015(37.7139363117368, -122.435831640861)
02/01/2015(37.7980723406312, -122.424060357638)
02/01/2015(37.7980723406312, -122.424060357638)
02/01/2015(37.7721868787586, -122.452437410737)
02/01/2015(37.751694401207, -122.434056456823)
02/01/2015(37.751694401207, -122.434056456823)
02/01/2015(37.7869391910697, -122.411955869906)
02/01/2015(37.729694047172, -122.384900862378)
02/01/2015(37.729694047172, -122.384900862378)
02/01/2015(37.7895783628974, -122.412907007898)
02/01/2015(37.7895783628974, -122.412907007898)
02/01/2015(37.7895783628974, -122.412907007898)
02/01/2015(37.7650501214668, -122.419671780296)
02/01/2015(37.7349529289018, -122.418098776629)
01/01/2015(37.7857382950322, -122.413820070176)
02/01/2015(37.7249307267936, -122.444707063455)
02/01/2015(37.7249307267936, -122.444707063455)
02/01/2015(37.7499506207926, -122.430635054089)
02/01/2015(37.7499506207926, -122.430635054089)
02/01/2015(37.7499506207926, -122.430635054089)
01/29/2015(37.7622325550481, -122.485701465567)
02/01/2015(37.7088563076781, -122.405109485404)
02/01/2015(37.7088563076781, -122.405109485404)
02/01/2015(37.7088563076781, -122.405109485404)
02/01/2015(37.7285280627465, -122.475647460786)
02/01/2015(37.7192685809366, -122.391468771522)
02/01/2015(37.7192685809366, -122.391468771522)
02/01/2015(37.7365866116543, -122.404686545316)
02/01/2015(37.7365866116543, -122.404686545316)
02/01/2015(37.7979466732983, -122.406460643507)
02/01/2015(37.7979466732983, -122.406460643507)
02/01/2015(37.7518275738203, -122.431980748524)
02/01/2015(37.7518275738203, -122.431980748524)
01/15/2014(37.7911776792224, -122.400748631911)
02/01/2015(37.7812550935484, -122.45886061567)
02/01/2015(37.7812550935484, -122.45886061567)
02/01/2015(37.7890603555993, -122.392347671978)
02/01/2015(37.7999519603954, -122.409576373262)
02/01/2015(37.7827317884887, -122.406481972743)
02/01/2015(37.7640221094087, -122.393732090374)
02/01/2015(37.7640221094087, -122.393732090374)
02/01/2015(37.7886989511647, -122.420307355721)
02/01/2015(37.7886989511647, -122.420307355721)
02/01/2015(37.7832767266062, -122.414081138014)
01/31/2015(37.7753861665924, -122.431038532157)
02/01/2015(37.7405796745233, -122.421744604955)
02/01/2015(37.7368129188976, -122.486177330467)
02/01/2015(37.7998528145322, -122.436910088417)
01/27/2015(37.796948073613, -122.421143711132)
